provnum,overall_rating,survey_rating,quality_rating,staffing_rating,RN_staffing_rating
55402,3,2,5,2,2
55407,2,2,4,3,3
55408,2,1,3,4,3
55409,2,1,3,4,3
55410,4,4,4,,
55412,4,2,5,4,4
55417,5,5,5,,
55423,4,4,3,2,2
55430,3,2,5,3,2
55434,5,4,5,2,3
55435,5,5,5,4,4
55438,4,3,4,4,3
55441,5,3,5,4,4
55443,2,1,3,5,5
55446,5,3,5,4,5
55448,3,2,5,3,3
55449,2,2,4,3,2
55454,5,5,5,4,5
55457,3,2,5,3,2
55459,3,2,5,3,3
55461,2,1,5,4,4
55462,5,4,2,5,5
55464,5,4,5,4,4
55466,5,4,5,5,5
55473,2,1,5,4,4
55474,2,1,5,4,3
55475,4,4,2,3,2
55476,2,1,5,5,5
55480,2,1,5,3,1
55481,5,4,5,4,4
55488,5,3,5,4,5
55489,1,1,4,1,1
55491,5,4,4,5,5
55493,5,5,5,5,5
55494,1,1,1,4,4
55497,5,4,5,3,3
55499,4,2,5,4,4
55500,3,2,5,3,4
55504,2,2,4,3,3
55505,5,4,5,5,5
55507,2,1,3,4,4
55508,4,2,5,4,4
55510,5,4,5,2,2
55512,5,4,5,4,5
55516,5,3,5,4,4
55517,4,2,5,5,5
55518,4,4,4,3,3
55519,3,2,5,3,3
55523,3,2,5,2,2
55525,5,4,5,2,1
55526,5,3,5,4,4
55527,3,2,5,3,3
55531,2,1,5,4,4
55534,5,5,5,,
55538,2,1,5,4,3
55539,5,5,5,4,4
55540,3,3,3,3,3
55541,1,1,4,3,2
55542,5,4,5,5,5
55544,4,3,5,3,2
55548,4,3,5,2,2
55551,1,1,4,3,1
55557,1,1,3,1,1
55559,4,2,5,4,4
55562,5,4,5,2,2
55563,4,3,2,4,4
55565,2,1,5,3,3
55566,4,2,5,4,4
55568,2,2,4,3,2
55570,4,3,5,3,3
55571,4,2,5,4,3
55573,5,5,5,2,1
55575,5,3,5,4,4
55581,2,1,5,3,3
55585,5,3,5,4,4
55597,4,2,5,4,4
55598,3,3,2,3,2
55601,1,1,2,3,1
55604,1,2,4,1,2
55608,2,1,5,3,3
55612,2,2,4,3,3
55617,2,2,4,3,2
55619,2,1,5,3,3
55622,3,2,5,3,2
55626,3,3,3,2,1
55632,5,4,5,4,4
55635,5,4,5,4,3
55640,5,4,5,3,2
55645,4,3,4,4,4
55646,2,1,5,4,4
55649,3,2,4,4,3
55650,5,5,5,4,4
55653,3,2,4,4,4
55656,2,1,4,4,4
55658,3,3,4,2,1
55662,5,5,5,3,2
55664,3,2,5,2,2
55670,5,4,5,5,5
55671,4,3,5,2,1
55674,4,3,5,3,2
55677,4,4,2,,
55684,5,4,5,4,4
55685,3,2,5,3,3
55689,2,1,4,4,4
55693,4,2,5,4,3
55697,5,4,5,,
55698,2,1,3,4,3
55704,4,3,5,2,1
55706,2,1,5,4,4
55707,5,4,5,3,4
55708,3,2,4,4,3
55710,4,3,5,3,3
55711,5,4,5,5,5
55715,4,3,3,4,3
55718,3,2,5,3,3
55719,5,3,5,4,4
55728,2,2,3,3,2
55733,5,3,5,4,4
55734,4,2,5,4,4
55735,5,3,5,4,4
55737,2,1,5,3,3
55739,5,3,5,4,4
55742,4,3,5,3,3
55744,4,2,5,4,4
